"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\account\page.js", "JavaScript", 38, 0, 0, 7, 45
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\api\apiStrategies.js", "JavaScript", 112, 0, 2, 11, 125
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\api\parkwise-laravel-api.js", "JavaScript", 322, 0, 0, 21, 343
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\api\parkwise-strapi-api.js", "JavaScript", 93, 0, 0, 11, 104
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\bill\page.js", "JavaScript", 24, 0, 0, 3, 27
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\BottomNavigation\BottomNavigation.js", "JavaScript", 51, 0, 0, 4, 55
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\BottomNavigation\bottomNavigation.module.css", "CSS", 0, 39, 0, 4, 43
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\Card\Card.js", "JavaScript", 11, 0, 0, 2, 13
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\Card\card.module.css", "CSS", 0, 37, 0, 5, 42
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\FormField\FormField.js", "JavaScript", 17, 0, 0, 2, 19
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\FormField\formField.module.css", "CSS", 0, 17, 0, 2, 19
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\LoginForm\LoginForm.js", "JavaScript", 70, 0, 1, 13, 84
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\LoginForm\loginForm.module.css", "CSS", 0, 50, 0, 3, 53
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\MapBox\MapBox.js", "JavaScript", 101, 0, 0, 22, 123
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\MapBox\mapBox.module.css", "CSS", 0, 4, 0, 1, 5
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\NavigateButton\NavigateButton.js", "JavaScript", 9, 0, 0, 1, 10
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\NavigateButton\navigateButton.module.css", "CSS", 0, 12, 0, 0, 12
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\NavigationCard\NavigationCard.js", "JavaScript", 15, 0, 0, 3, 18
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\NavigationCard\navigateCard.module.css", "CSS", 0, 39, 0, 5, 44
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\PriceList\PriceList.js", "JavaScript", 33, 0, 0, 4, 37
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\PriceList\PriceList.module.css", "CSS", 0, 0, 0, 1, 1
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\RegisterForm\RegisterForm.js", "JavaScript", 84, 0, 0, 11, 95
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\RegisterForm\registerForm.module.css", "CSS", 0, 43, 1, 6, 50
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\SessionCard\SessionCard.js", "JavaScript", 46, 0, 3, 7, 56
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\SessionCard\sessionCard.module.css", "CSS", 0, 6, 0, 0, 6
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\Title\Title.js", "JavaScript", 8, 0, 0, 1, 9
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\components\Title\title.module.css", "CSS", 0, 3, 0, 0, 3
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\globals.css", "CSS", 0, 100, 0, 13, 113
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\hooks\useAuth.js", "JavaScript", 23, 0, 0, 8, 31
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\layout.js", "JavaScript", 14, 0, 0, 4, 18
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\mockData\mockData.js", "JavaScript", 435, 0, 0, 3, 438
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\page.js", "JavaScript", 13, 0, 0, 3, 16
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\page.module.css", "CSS", 0, 195, 3, 32, 230
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\search\page.js", "JavaScript", 84, 0, 0, 9, 93
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\search\search.module.css", "CSS", 0, 11, 0, 0, 11
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\ticket\page.js", "JavaScript", 107, 0, 0, 16, 123
"c:\School\5de-semester-schijf\CCETT\Git\code\parkwise-web-app\src\app\ticket\ticket.module.css", "CSS", 0, 14, 0, 2, 16
"Total", "-", 1710, 570, 10, 240, 2530
